sample_id,degeneracy_type,is_degenerate,D_hat,coh_star,r_LZ,asv_score,text_length,num_tokens
repetition_loop_000,repetition_loop,True,0.6989648208049439,0.4875,0.296875,0.6652089820804944,399,80
repetition_loop_001,repetition_loop,True,0.9145351914682776,0.5,0.42329545454545453,0.8414535191468278,179,44
repetition_loop_002,repetition_loop,True,0.7599397741537874,0.9405940594059405,0.07425742574257425,0.2096573437520124,504,101
repetition_loop_003,repetition_loop,True,0.6989648208049439,0.5125,0.2875,0.6511464820804943,399,80
repetition_loop_004,repetition_loop,True,0.9145351914682776,0.36363636363636365,0.4715909090909091,0.8414535191468278,179,44
repetition_loop_005,repetition_loop,True,0.729446309177953,0.9108910891089109,0.08663366336633663,0.2363109675514586,504,101
repetition_loop_006,repetition_loop,True,0.7202312124443901,0.51,0.29125,0.658898121244439,419,100
repetition_loop_007,repetition_loop,True,0.6624192307629413,0.4189189189189189,0.4797297297297297,0.8162419230762941,230,74
repetition_loop_008,repetition_loop,True,0.723004230977873,0.9390243902439024,0.09603658536585366,0.23922115480510436,409,82
repetition_loop_009,repetition_loop,True,0.6989648208049439,0.5125,0.30625,0.6792714820804944,399,80
repetition_loop_010,repetition_loop,True,0.9145351914682776,0.29545454545454547,0.4005681818181818,0.8391807918741004,179,44
repetition_loop_011,repetition_loop,True,0.729446309177953,0.8910891089108911,0.06683168316831684,0.21403373982868637,504,101
repetition_loop_012,repetition_loop,True,0.7202312124443901,0.5,0.28125,0.643898121244439,419,100
repetition_loop_013,repetition_loop,True,0.9145351914682776,0.38636363636363635,0.4630681818181818,0.8414535191468278,179,44
repetition_loop_014,repetition_loop,True,0.729446309177953,0.9120879120879121,0.06868131868131869,0.20893364190680627,454,91
repetition_loop_015,repetition_loop,True,0.6989648208049439,0.4875,0.309375,0.6839589820804943,399,80
repetition_loop_016,repetition_loop,True,0.6624192307629413,0.4189189189189189,0.535472972972973,0.8162419230762941,230,74
repetition_loop_017,repetition_loop,True,0.7349337248718134,0.8461538461538461,0.11346153846153846,0.3013779878717967,320,65
repetition_loop_018,repetition_loop,True,0.6989648208049439,0.5,0.325,0.7073964820804943,399,80
repetition_loop_019,repetition_loop,True,0.9145351914682776,0.3409090909090909,0.45170454545454547,0.8414535191468278,179,44
repetition_loop_020,repetition_loop,True,0.729446309177953,0.9504950495049505,0.06806930693069307,0.1936129477494785,504,101
repetition_loop_021,repetition_loop,True,0.7202312124443901,0.48,0.3175,0.698273121244439,419,100
repetition_loop_022,repetition_loop,True,0.9145351914682776,0.3181818181818182,0.42613636363636365,0.8414535191468278,179,44
repetition_loop_023,repetition_loop,True,0.729446309177953,0.9108910891089109,0.08168316831683169,0.2288852249772012,504,101
repetition_loop_024,repetition_loop,True,0.7202312124443901,0.52,0.29875,0.6701481212444389,419,100
semantic_drift_000,semantic_drift,True,0.5,0.375609756097561,0.5237804878048781,0.7999999999999999,990,205
semantic_drift_001,semantic_drift,True,0.5,0.42245989304812837,0.5808823529411765,0.7999999999999999,981,187
semantic_drift_002,semantic_drift,True,0.5,0.424390243902439,0.5048780487804878,0.7999999999999999,999,205
semantic_drift_003,semantic_drift,True,0.5,0.3883495145631068,0.5716019417475728,0.7999999999999999,993,206
semantic_drift_004,semantic_drift,True,0.5,0.3191489361702128,0.5895390070921985,0.7999999999999999,654,141
semantic_drift_005,semantic_drift,True,0.5,0.3557692307692308,0.5793269230769231,0.7999999999999999,1057,208
semantic_drift_006,semantic_drift,True,0.5,0.32524271844660196,0.5109223300970874,0.7999999999999999,1019,206
semantic_drift_007,semantic_drift,True,0.5,0.41237113402061853,0.5360824742268041,0.7999999999999999,1043,194
semantic_drift_008,semantic_drift,True,0.5,0.3932038834951456,0.591626213592233,0.7999999999999999,1041,206
semantic_drift_009,semantic_drift,True,0.5,0.37254901960784315,0.4883578431372549,0.7999999999999999,976,204
semantic_drift_010,semantic_drift,True,0.5,0.32571428571428573,0.555,0.7999999999999999,869,175
semantic_drift_011,semantic_drift,True,0.5,0.39901477832512317,0.5049261083743842,0.7999999999999999,1023,203
semantic_drift_012,semantic_drift,True,0.5,0.3853658536585366,0.5475609756097561,0.7999999999999999,1067,205
semantic_drift_013,semantic_drift,True,0.5,0.40865384615384615,0.5787259615384616,0.7999999999999999,1168,208
semantic_drift_014,semantic_drift,True,0.5,0.3300970873786408,0.5018203883495146,0.7999999999999999,960,206
semantic_drift_015,semantic_drift,True,0.5,0.3853658536585366,0.550609756097561,0.7999999999999999,986,205
semantic_drift_016,semantic_drift,True,0.5,0.40350877192982454,0.5445906432748538,0.7999999999999999,855,171
semantic_drift_017,semantic_drift,True,0.5,0.36585365853658536,0.598780487804878,0.7999999999999999,1018,205
semantic_drift_018,semantic_drift,True,0.5,0.46568627450980393,0.5441176470588235,0.7999999999999999,968,204
semantic_drift_019,semantic_drift,True,0.5,0.38164251207729466,0.5259661835748792,0.7999999999999999,1109,207
semantic_drift_020,semantic_drift,True,0.5,0.3894230769230769,0.5895432692307693,0.7999999999999999,985,208
semantic_drift_021,semantic_drift,True,0.5,0.3515151515151515,0.5969696969696969,0.7999999999999999,819,165
semantic_drift_022,semantic_drift,True,0.5,0.3719806763285024,0.533816425120773,0.7999999999999999,1066,207
semantic_drift_023,semantic_drift,True,0.5,0.38164251207729466,0.5815217391304348,0.7999999999999999,1046,207
semantic_drift_024,semantic_drift,True,0.5,0.4147727272727273,0.5866477272727273,0.7999999999999999,866,176
incoherent_000,incoherent,True,0.5,0.2073170731707317,0.5289634146341463,0.7536585365853659,399,82
incoherent_001,incoherent,True,0.5,0.2654320987654321,0.5486111111111112,0.782716049382716,774,162
incoherent_002,incoherent,True,0.5,0.3932038834951456,0.5103155339805825,0.7999999999999999,1011,206
