component,count,mean_ms,median_ms,std_ms,p50_ms,p95_ms,p99_ms,cost_p50_usd,cost_p95_usd,cost_p99_usd
D_hat,100,0.0031062436755746603,0.002937507815659046,0.00122548368217288,0.002937507815659046,0.003127101808786392,0.004936939803883486,8.15974393238624e-11,8.686393913295535e-11,1.371372167745413e-10
coh_star,100,4.698683250462636,4.685146035626531,0.10368374945723564,4.685146035626531,4.87182256183587,4.988417117856445,1.301429454340703e-07,1.3532840449544086e-07,1.3856714216267904e-07
r_LZ,100,41.739945431472734,41.42095794668421,5.282660638359358,41.42095794668421,49.45778753608465,57.09327652235524,1.1505821651856726e-06,1.373827431557907e-06,1.5859243478432012e-06
conformal,100,0.010521288495510817,0.01025001984089613,0.0018747262567388857,0.01025001984089613,0.010920228669419885,0.013447058154270133,2.8472277335822586e-10,3.033396852616635e-10,3.735293931741704e-10
end_to_end,100,46.452256214106455,46.117624442558736,5.341050165385056,46.117624442558736,54.12416631588712,61.74908101093033,1.2810451234044095e-06,1.503449064330198e-06,1.7152522503036206e-06
