Method,Accuracy,Precision,Recall,F1,AUROC,Mean Latency (ms),P95 Latency (ms),Cost per Sample (USD),Total Cost (USD)
ASV,0.71,0.8382352941176471,0.76,0.7972027972027973,0.8106666666666666,51.76321268081665,77.06325054168701,2e-06,0.0002
GPT-4 Judge,0.75,0.75,1.0,0.8571428571428571,0.5,1784.5241379737854,2964.608943462372,0.002871199999999999,0.28711999999999993
SelfCheckGPT,0.76,0.9636363636363636,0.7066666666666667,0.8153846153846154,0.7722666666666667,8982.02208518982,6861.778700351714,0.0006114450000000001,0.061144500000000004
