config_name,scales,k,auroc,mean_variance,std_variance,mean_D_hat,std_D_hat,n_valid,elapsed_sec
"k=2 [2,4]","[2, 4]",2,0.5,0.0,0.0,0.0,0.0,937,2.3296420574188232
"k=3 [2,4,8]","[2, 4, 8]",3,0.5,0.0,0.0,0.0,0.0,937,3.0436887741088867
"k=4 [2,4,8,16]","[2, 4, 8, 16]",4,0.5,0.0,0.0,0.0,0.0,937,4.217616081237793
"k=5 [2,4,8,16,32]","[2, 4, 8, 16, 32]",5,0.5,0.0,0.0,0.0,0.0,937,5.284208059310913
"k=6 [2,4,8,16,32,64]","[2, 4, 8, 16, 32, 64]",6,0.5,0.0,0.0,0.0,0.0,937,6.018867015838623
"sparse [4,16,64]","[4, 16, 64]",3,0.5,0.0,0.0,0.0,0.0,937,3.2093570232391357
"linear [2,3,4,5,6]","[2, 3, 4, 5, 6]",5,0.5,0.0,0.0,0.0,0.0,937,5.163846969604492
"dense [2,4,6,8,10]","[2, 4, 6, 8, 10]",5,0.5,0.0,0.0,0.0,0.0,937,5.216652154922485
