config_name,scales,k,auroc,bootstrap_variance,mean_D_hat,std_D_hat,min_D_hat,max_D_hat,n_valid,elapsed_sec,mean_variance,std_variance
"k=2 [2,4]","[2, 4]",2,0.7350983981693364,,0.07406897106937028,0.9128217930975682,-1.0,3.0,937,0.015022754669189453,,
"k=3 [2,4,8]","[2, 4, 8]",3,0.4406910755148742,,0.17388909963607257,0.4054777792157737,-1.0,1.0,937,0.015604972839355469,,
"k=4 [2,4,8,16]","[2, 4, 8, 16]",4,0.34324942791762014,,0.2132453350010672,0.29321253990627993,-1.0,1.0,937,0.016225099563598633,,
"k=5 [2,4,8,16,32]","[2, 4, 8, 16, 32]",5,0.255766590389016,,0.09174452142475985,0.23545989417323665,-1.0,0.75,937,0.01703500747680664,,
"k=6 [2,4,8,16,32,64]","[2, 4, 8, 16, 32, 64]",6,,,,,,,0,0.013030052185058594,,
"sparse [4,16,64]","[4, 16, 64]",3,,,,,,,0,0.012576103210449219,,
"linear [2,3,4,5,6]","[2, 3, 4, 5, 6]",5,,,,,,,0,0.01231527328491211,,
"dense [2,4,6,8,10]","[2, 4, 6, 8, 10]",5,,,,,,,0,0.012695074081420898,,
