config_name,scales,k,auroc,mean_variance,n_valid
"k=2 [2,4]","[2, 4]",2,0.0,0.0,937
"k=3 [2,4,8]","[2, 4, 8]",3,0.2796521739130435,0.2088874058573805,937
"k=4 [2,4,8,16]","[2, 4, 8, 16]",4,0.0,0.2514869875978904,937
"k=5 [2,4,8,16,32]","[2, 4, 8, 16, 32]",5,0.0,0.4057484665860152,937
"k=6 [2,4,8,16,32,64]","[2, 4, 8, 16, 32, 64]",6,0.0,0.38300541249743464,937
"sparse [4,16,64]","[4, 16, 64]",3,0.0,0.16597602808992667,937
"linear [2,3,4,5,6]","[2, 3, 4, 5, 6]",5,0.0,0.07626909121795511,937
"dense [2,4,6,8,10]","[2, 4, 6, 8, 10]",5,0.0,0.22551105984222333,937
