sample_id,source,is_hallucination,D_hat,coh_star,r_LZ,asv_score,text_length,num_tokens,llm_model,n_tokens,r_lz_normalized
fever_124268,fever,True,0.5,0.4,0.7375,0.7166666666666666,80,20,gpt-4-turbo-preview,14,1.0
fever_226147,fever,False,0.5,0.2588235294117647,0.6338235294117647,0.7323529411764707,454,85,gpt-4-turbo-preview,66,1.0
fever_83533,fever,True,0.5,0.3225806451612903,0.6236559139784946,0.7666666666666666,417,93,gpt-4-turbo-preview,78,1.0
fever_186871,fever,False,0.5,0.275,0.71875,0.7208333333333333,164,40,gpt-4-turbo-preview,30,1.0
fever_108203,fever,True,0.5,0.3170731707317073,0.5426829268292683,0.7666666666666666,479,82,gpt-4-turbo-preview,67,1.0
fever_181835,fever,True,0.5,0.2972972972972973,0.6216216216216216,0.7644144144144145,489,111,gpt-4-turbo-preview,81,1.0
fever_73745,fever,True,0.5,0.2857142857142857,0.6428571428571429,0.7547619047619047,278,56,gpt-4-turbo-preview,44,1.0
fever_202762,fever,True,0.5,0.2571428571428571,0.7071428571428572,0.7214285714285713,145,35,gpt-4-turbo-preview,24,1.0
fever_47726,fever,False,0.5,0.2352941176470588,0.8088235294117647,0.5676470588235294,135,34,gpt-4-turbo-preview,22,1.0
fever_155174,fever,True,0.5,0.2588235294117647,0.5852941176470589,0.7323529411764707,451,85,gpt-4-turbo-preview,66,1.0
fever_7336,fever,True,0.5,0.375,0.6215277777777778,0.7666666666666666,319,72,gpt-4-turbo-preview,51,1.0
fever_165664,fever,True,0.5,0.2702702702702703,0.5878378378378378,0.741891891891892,321,74,gpt-4-turbo-preview,57,1.0
fever_134851,fever,True,0.5,0.3406593406593406,0.5439560439560439,0.7666666666666666,485,91,gpt-4-turbo-preview,72,1.0
fever_48275,fever,False,0.5,0.2647058823529412,0.7022058823529411,0.7343137254901961,134,34,gpt-4-turbo-preview,25,1.0
fever_178148,fever,True,0.5,0.3076923076923077,0.6557692307692308,0.7666666666666666,317,65,gpt-4-turbo-preview,56,1.0
fever_194917,fever,True,0.5,0.3541666666666667,0.6471354166666666,0.7666666666666666,419,96,gpt-4-turbo-preview,72,1.0
fever_51535,fever,True,0.5,0.2647058823529412,0.6966911764705882,0.7372549019607844,346,68,gpt-4-turbo-preview,55,1.0
fever_36882,fever,True,0.5,0.2280701754385964,0.6535087719298246,0.7067251461988304,246,57,gpt-4-turbo-preview,47,1.0
fever_201066,fever,False,0.5,0.3243243243243243,0.668918918918919,0.7666666666666666,187,37,gpt-4-turbo-preview,31,1.0
fever_155328,fever,True,0.5,0.375,0.7447916666666666,0.7069444444444444,101,24,gpt-4-turbo-preview,18,1.0
fever_202040,fever,True,0.5,0.2592592592592592,0.7916666666666666,0.6104938271604938,110,27,gpt-4-turbo-preview,16,1.0
fever_128415,fever,True,0.5,0.3269230769230769,0.7211538461538461,0.7384615384615385,208,52,gpt-4-turbo-preview,39,1.0
fever_65927,fever,True,0.5,0.3673469387755102,0.7423469387755102,0.710204081632653,212,49,gpt-4-turbo-preview,35,1.0
fever_108698,fever,True,0.5,0.3846153846153846,0.6192307692307693,0.7666666666666666,324,65,gpt-4-turbo-preview,54,1.0
fever_227083,fever,False,0.5,0.2285714285714285,0.6892857142857143,0.7071428571428571,134,35,gpt-4-turbo-preview,25,1.0
fever_9292,fever,False,0.5,0.3516483516483517,0.625,0.7666666666666666,383,91,gpt-4-turbo-preview,58,1.0
fever_202979,fever,False,0.5,0.3522727272727273,0.6107954545454546,0.7666666666666666,433,88,gpt-4-turbo-preview,71,1.0
fever_119048,fever,False,0.5,0.2926829268292683,0.7652439024390244,0.6735772357723576,178,41,gpt-4-turbo-preview,31,1.0
fever_112708,fever,True,0.5,0.3421052631578947,0.7039473684210527,0.7614035087719297,154,38,gpt-4-turbo-preview,28,1.0
fever_133461,fever,True,0.5,0.3103448275862069,0.7198275862068966,0.7402298850574711,104,29,gpt-4-turbo-preview,20,1.0
fever_204646,fever,False,0.5,0.32,0.74,0.7133333333333333,86,25,gpt-4-turbo-preview,16,1.0
fever_133527,fever,True,0.5,0.2978723404255319,0.7632978723404256,0.6804964539007091,184,47,gpt-4-turbo-preview,33,1.0
fever_28862,fever,False,0.5,0.36,0.855,0.5599999999999999,98,25,gpt-4-turbo-preview,16,1.0
fever_17947,fever,False,0.5,0.3703703703703703,0.6851851851851852,0.7666666666666666,133,27,gpt-4-turbo-preview,21,1.0
fever_199428,fever,True,0.5,0.425531914893617,0.7632978723404256,0.6822695035460992,189,47,gpt-4-turbo-preview,28,1.0
fever_172765,fever,False,0.5,0.3,0.7833333333333333,0.6555555555555554,121,30,gpt-4-turbo-preview,23,1.0
fever_171609,fever,True,0.5,0.3235294117647059,0.5845588235294118,0.7666666666666666,493,102,gpt-4-turbo-preview,83,1.0
fever_20590,fever,False,0.5,0.3026315789473684,0.6447368421052632,0.7666666666666666,392,76,gpt-4-turbo-preview,57,1.0
fever_181882,fever,False,0.5,0.3111111111111111,0.7166666666666667,0.7444444444444445,203,45,gpt-4-turbo-preview,31,1.0
fever_98305,fever,False,0.5,0.3333333333333333,0.6647727272727273,0.7666666666666666,255,66,gpt-4-turbo-preview,47,1.0
fever_27897,fever,True,0.5,0.3970588235294117,0.6158088235294118,0.7666666666666666,302,68,gpt-4-turbo-preview,51,1.0
fever_87098,fever,True,0.5,0.35,0.625,0.7666666666666666,301,60,gpt-4-turbo-preview,50,1.0
fever_68298,fever,True,0.5,0.2842105263157894,0.5710526315789474,0.7535087719298246,482,95,gpt-4-turbo-preview,79,1.0
fever_226879,fever,True,0.5,0.2857142857142857,0.7142857142857143,0.7357142857142857,232,49,gpt-4-turbo-preview,39,1.0
fever_187323,fever,False,0.5,0.2307692307692307,0.6105769230769231,0.708974358974359,111,26,gpt-4-turbo-preview,18,1.0
fever_207259,fever,True,0.5,0.2978723404255319,0.7446808510638298,0.7053191489361702,209,47,gpt-4-turbo-preview,34,1.0
fever_161573,fever,True,0.5,0.2592592592592592,0.6921296296296297,0.7327160493827161,238,54,gpt-4-turbo-preview,39,1.0
fever_27427,fever,True,0.5,0.34375,0.71875,0.7416666666666667,159,32,gpt-4-turbo-preview,27,1.0
fever_135341,fever,False,0.5,0.2835820895522388,0.6921641791044776,0.7529850746268657,305,67,gpt-4-turbo-preview,52,1.0
fever_110717,fever,False,0.5,0.3333333333333333,0.7916666666666666,0.6444444444444444,97,21,gpt-4-turbo-preview,15,1.0
fever_228432,fever,True,0.5,0.3358208955223881,0.5904850746268657,0.7666666666666666,730,134,gpt-4-turbo-preview,113,1.0
fever_195921,fever,False,0.5,0.3269230769230769,0.6802884615384616,0.7666666666666666,235,52,gpt-4-turbo-preview,36,1.0
fever_147493,fever,False,0.5,0.2592592592592592,0.6388888888888888,0.7327160493827161,107,27,gpt-4-turbo-preview,18,1.0
fever_81505,fever,True,0.5,0.320754716981132,0.6792452830188679,0.7666666666666666,213,53,gpt-4-turbo-preview,40,1.0
fever_83021,fever,True,0.5,0.3260869565217391,0.8206521739130435,0.6057971014492753,204,46,gpt-4-turbo-preview,32,1.0
fever_13934,fever,False,0.5,0.2666666666666666,0.7458333333333333,0.6777777777777777,147,30,gpt-4-turbo-preview,23,1.0
fever_74416,fever,False,0.5,0.3571428571428571,0.7321428571428571,0.7238095238095239,148,28,gpt-4-turbo-preview,19,1.0
fever_7836,fever,False,0.5,0.303030303030303,0.7234848484848485,0.7353535353535352,125,33,gpt-4-turbo-preview,22,1.0
fever_49707,fever,False,0.5,0.2444444444444444,0.7055555555555556,0.7129629629629628,181,45,gpt-4-turbo-preview,31,1.0
fever_7059,fever,False,0.5,0.25,0.7265625,0.6895833333333332,142,32,gpt-4-turbo-preview,25,1.0
fever_129932,fever,False,0.5,0.3023255813953488,0.6627906976744186,0.7666666666666666,251,43,gpt-4-turbo-preview,36,1.0
fever_94603,fever,True,0.5211147113994299,0.4497607655502392,0.5215311004784688,0.771593432659867,1010,209,gpt-4-turbo-preview,158,1.0
fever_93981,fever,True,0.5,0.3066666666666666,0.5133333333333333,0.7666666666666666,362,75,gpt-4-turbo-preview,59,1.0
fever_123479,fever,True,0.5,0.2773109243697479,0.6186974789915967,0.7477591036414566,568,119,gpt-4-turbo-preview,95,1.0
fever_195370,fever,True,0.5,0.2758620689655172,0.75,0.6798850574712643,118,29,gpt-4-turbo-preview,20,1.0
fever_79601,fever,False,0.5,0.3823529411764705,0.8235294117647058,0.6019607843137255,167,34,gpt-4-turbo-preview,29,1.0
fever_159563,fever,False,0.5,0.360655737704918,0.6618852459016393,0.7666666666666666,277,61,gpt-4-turbo-preview,43,1.0
fever_52781,fever,True,0.5,0.34375,0.8125,0.6166666666666666,139,32,gpt-4-turbo-preview,24,1.0
fever_227131,fever,True,0.5,0.3625,0.640625,0.7666666666666666,394,80,gpt-4-turbo-preview,65,1.0
fever_92342,fever,True,0.5,0.4464285714285714,0.7254464285714286,0.7327380952380951,287,56,gpt-4-turbo-preview,45,1.0
fever_121790,fever,True,0.5,0.2297297297297297,0.6182432432432432,0.7081081081081082,354,74,gpt-4-turbo-preview,59,1.0
fever_202930,fever,True,0.5,0.3043478260869565,0.8152173913043478,0.6130434782608696,100,23,gpt-4-turbo-preview,17,1.0
fever_168966,fever,True,0.5,0.3043478260869565,0.5670289855072463,0.7666666666666666,282,69,gpt-4-turbo-preview,53,1.0
fever_194472,fever,True,0.5,0.2439024390243902,0.7408536585365854,0.6654471544715446,180,41,gpt-4-turbo-preview,31,1.0
fever_187788,fever,False,0.5,0.2926829268292683,0.75,0.6939024390243902,162,41,gpt-4-turbo-preview,27,1.0
fever_22945,fever,True,0.5,0.2839506172839506,0.5354938271604939,0.7532921810699589,385,81,gpt-4-turbo-preview,64,1.0
fever_130181,fever,True,0.5,0.5094339622641509,0.6580188679245284,0.7666666666666666,271,53,gpt-4-turbo-preview,44,1.0
fever_199759,fever,True,0.5,0.3235294117647059,0.75,0.7,159,34,gpt-4-turbo-preview,26,1.0
fever_149577,fever,True,0.5,0.3358208955223881,0.5261194029850746,0.7666666666666666,511,134,gpt-4-turbo-preview,94,1.0
fever_144018,fever,False,0.5,0.3461538461538461,0.7884615384615384,0.6487179487179486,100,26,gpt-4-turbo-preview,18,1.0
fever_154642,fever,True,0.5,0.2105263157894736,0.6513157894736842,0.6921052631578948,239,57,gpt-4-turbo-preview,42,1.0
fever_118127,fever,False,0.5,0.3,0.825,0.6,80,20,gpt-4-turbo-preview,14,1.0
fever_52279,fever,True,0.5,0.2835820895522388,0.621268656716418,0.7529850746268657,320,67,gpt-4-turbo-preview,53,1.0
fever_75467,fever,True,0.5,0.3709677419354839,0.7116935483870968,0.7510752688172042,264,62,gpt-4-turbo-preview,43,1.0
fever_125197,fever,True,0.5,0.3246753246753247,0.7402597402597403,0.7129870129870128,366,77,gpt-4-turbo-preview,62,1.0
fever_51953,fever,True,0.5,0.3793103448275862,0.7887931034482759,0.6482758620689654,120,29,gpt-4-turbo-preview,21,1.0
fever_90930,fever,True,0.5,0.3333333333333333,0.7954545454545454,0.6393939393939394,120,33,gpt-4-turbo-preview,21,1.0
fever_172475,fever,True,0.5,0.3125,0.7421875,0.7104166666666666,124,32,gpt-4-turbo-preview,22,1.0
fever_156664,fever,True,0.5,0.2666666666666666,0.6729166666666667,0.7388888888888889,285,60,gpt-4-turbo-preview,49,1.0
fever_16425,fever,False,0.5,0.3647058823529411,0.6529411764705882,0.7666666666666666,283,85,gpt-4-turbo-preview,44,1.0
fever_99877,fever,True,0.5,0.2972972972972973,0.6655405405405406,0.7644144144144145,154,37,gpt-4-turbo-preview,27,1.0
fever_181124,fever,True,0.5,0.3859649122807017,0.706140350877193,0.7584795321637428,251,57,gpt-4-turbo-preview,46,1.0
fever_52451,fever,True,0.5,0.3137254901960784,0.6004901960784313,0.7666666666666666,438,102,gpt-4-turbo-preview,76,1.0
fever_65180,fever,True,0.5,0.2368421052631578,0.7335526315789473,0.6692982456140351,168,38,gpt-4-turbo-preview,29,1.0
fever_90158,fever,False,0.5,0.3658536585365853,0.6265243902439024,0.7666666666666666,348,82,gpt-4-turbo-preview,66,1.0
